FGM (A),FGA (A),3PM (A),3PA (A),FTM (A),FTA (A),OREB (A),DREB (A),REB (A),AST (A),STL (A),BLK (A),TO (A),PF (A),PTS (A),FG% (A),3P% (A),FT% (A),FGM (H),FGA (H),3PM (H),3PA (H),FTM (H),FTA (H),OREB (H),DREB (H),REB (H),AST (H),STL (H),BLK (H),TO (H),PF (H),PTS (H),FG% (H),3P% (H),FT% (H),,,,,,,,,,,
18,57,2,19,9,16,14,25,39,7,4,0,15,9,47,0.316,0.105,0.563,28,61,9,30,2,3,9,26,35,22,13,2,9,19,67,0.459,0.3,0.667,,,,,,,,,,,
19,62,4,26,10,14,13,31,44,13,6,4,13,20,52,0.306,0.154,0.714,14,46,8,20,18,27,4,30,34,11,6,3,12,15,54,0.304,0.4,0.667,,,,,,,,,,,
18,47,6,21,15,24,8,21,29,12,6,2,7,18,57,0.383,0.286,0.625,23,46,5,10,7,13,6,24,30,14,4,2,11,17,58,0.5,0.5,0.538,,,,,,,,,,,
24,58,10,21,5,8,7,24,31,15,12,4,6,13,63,0.414,0.476,0.625,19,52,6,20,11,13,8,29,37,12,1,5,15,12,55,0.365,0.3,0.846,,,,,,,,,,,
32,75,11,33,12,21,20,26,46,20,4,5,8,13,87,0.427,0.333,0.571,34,70,10,24,11,14,12,24,36,22,5,7,7,15,89,0.486,0.417,0.786,,,,,,,,,,,
22,57,7,20,10,14,11,27,38,8,6,4,9,13,61,0.386,0.35,0.714,23,52,10,21,7,10,4,26,30,16,5,0,8,13,63,0.442,0.476,0.7,,,,,,,,,,,
22,57,7,20,20,25,10,27,37,10,6,2,11,17,71,0.386,0.35,0.8,20,51,8,21,16,20,6,28,34,9,8,1,14,19,64,0.392,0.381,0.8,,,,,,,,,,,
22,51,7,18,16,20,3,21,24,15,4,3,10,17,67,0.431,0.389,0.8,30,60,7,18,18,26,14,27,41,16,6,5,7,15,85,0.5,0.389,0.692,,,,,,,,,,,
17,51,7,23,16,18,14,16,30,12,8,1,12,17,57,0.333,0.304,0.889,24,44,6,17,8,15,8,20,28,11,8,1,13,14,62,0.545,0.353,0.533,,,,,,,,,,,
21,55,3,14,4,7,6,27,33,3,3,0,7,10,49,0.382,0.214,0.571,25,60,9,30,8,11,9,30,39,5,6,3,3,9,67,0.417,0.3,0.727,,,,,,,,,,,
20,59,9,26,13,17,14,21,35,8,5,3,9,24,62,0.339,0.346,0.765,22,40,5,12,22,34,6,26,32,14,1,3,10,18,71,0.55,0.417,0.647,,,,,,,,,,,
22,57,11,27,7,14,9,25,34,18,6,3,9,13,62,0.386,0.407,0.5,27,65,9,25,8,9,13,29,42,16,5,5,10,17,71,0.415,0.36,0.889,,,,,,,,,,,
26,60,10,22,7,10,9,19,28,13,3,0,10,21,69,0.433,0.455,0.7,28,50,6,18,15,28,9,28,37,14,6,5,10,15,77,0.56,0.333,0.536,,,,,,,,,,,
26,57,14,32,9,20,5,28,33,20,6,0,10,25,75,0.456,0.438,0.45,27,68,11,24,19,26,18,33,51,18,4,3,10,20,84,0.397,0.458,0.731,,,,,,,,,,,
23,59,8,25,3,5,11,29,40,14,5,3,17,9,57,0.39,0.32,0.6,24,57,7,20,1,5,4,24,28,13,9,1,15,12,56,0.421,0.35,0.2,,,,,,,,,,,
28,68,4,15,4,9,10,26,36,15,7,7,10,22,64,0.412,0.267,0.444,24,57,5,15,22,32,12,34,46,16,6,5,10,15,75,0.421,0.333,0.688,,,,,,,,,,,
30,59,11,25,16,25,13,34,47,16,6,9,14,15,87,0.508,0.44,0.64,25,72,5,19,5,10,16,21,37,11,8,2,14,21,60,0.347,0.263,0.5,,,,,,,,,,,
21,59,9,28,8,9,12,21,33,7,3,0,5,10,59,0.356,0.321,0.889,24,52,9,23,8,10,8,25,33,11,4,3,7,11,65,0.462,0.391,0.8,,,,,,,,,,,
26,54,1,14,19,27,13,21,34,16,5,3,8,17,72,0.481,0.071,0.704,22,54,6,25,16,20,13,19,32,15,5,5,11,21,66,0.407,0.24,0.8,,,,,,,,,,,
