FGM (PP),FGA (PP),3PM (PP),3PA (PP),FTM (PP),FTA (PP),OREB (PP),DREB (PP),REB (PP),AST (PP),STL (PP),BLK (PP),TO (PP),PF (PP),PTS (PP),FG% (PP),3P% (PP),FT% (PP),H1 (PP),H2 (PP),FGM (O),FGA (O),3PM (O),3PA (O),FTM (O),FTA (O),OREB (O),DREB (O),REB (O),AST (O),STL (O),BLK (O),TO (O),PF (O),PTS (O),FG% (O),3P% (O),FT% (O),H1 (O),H2 (O),H/A
16,45,2,11,24,32,9,29,38,7,6,5,12,22,58,0.356,0.182,0.75,27,31,17,55,2,9,13,22,14,23,37,7,6,3,13,21,49,0.309,0.222,0.591,34,15,A
28,71,11,28,21,32,14,22,36,11,12,2,12,20,88,0.394,0.393,0.656,38,35,30,60,7,19,17,25,9,37,46,13,8,2,22,26,84,0.5,0.368,0.68,43,30,H
25,62,4,19,9,13,11,24,35,13,4,4,9,13,63,0.403,0.211,0.692,27,36,28,65,10,23,9,11,13,29,42,19,5,4,10,13,75,0.431,0.435,0.818,36,39,H
24,53,11,30,11,15,11,28,39,17,7,4,12,8,70,0.453,0.367,0.733,41,29,25,64,7,17,5,8,13,22,35,23,9,3,9,16,62,0.391,0.412,0.625,27,35,H
25,61,5,15,20,27,20,34,54,14,12,4,14,16,75,0.41,0.333,0.741,34,41,14,53,0,16,14,21,10,21,31,8,10,3,15,20,42,0.264,0,0.667,13,29,A
22,53,2,10,8,10,6,24,30,15,7,1,19,15,54,0.415,0.2,0.8,20,34,25,53,11,22,13,24,8,25,33,19,8,3,14,13,74,0.472,0.5,0.542,34,40,A
34,74,10,28,6,9,14,28,42,21,8,11,9,14,84,0.459,0.357,0.667,40,44,21,69,8,27,9,13,18,27,45,14,1,3,15,12,59,0.304,0.296,0.692,30,29,H
17,48,6,23,18,26,6,25,31,9,6,1,15,12,58,0.354,0.261,0.692,25,33,22,52,4,16,13,18,7,26,33,14,6,2,14,17,61,0.423,0.25,0.722,26,35,A
25,60,5,18,15,24,16,19,35,14,12,3,7,12,70,0.417,0.278,0.625,40,30,27,54,6,9,6,12,11,24,35,13,3,2,13,19,66,0.5,0.667,0.5,27,39,H
20,56,3,16,15,19,14,25,39,5,4,4,8,17,58,0.357,0.188,0.789,31,27,25,64,8,19,7,13,18,22,40,8,4,3,5,16,65,0.391,0.421,0.538,38,27,A
32,71,6,28,16,22,10,32,42,15,5,7,14,23,86,0.451,0.214,0.727,36,41,29,67,8,20,29,39,10,33,43,20,6,2,9,16,95,0.433,0.4,0.744,46,31,H
25,53,1,13,21,26,13,21,34,16,10,5,9,7,72,0.472,0.077,0.808,28,44,23,53,3,17,7,7,8,20,28,14,4,3,13,18,56,0.434,0.176,1,30,26,H
21,42,2,6,7,12,5,21,26,10,7,2,12,11,51,0.5,0.333,0.583,27,24,16,46,6,15,6,10,10,18,28,8,8,1,14,13,44,0.348,0.4,0.6,21,23,A
23,50,6,13,4,15,8,22,30,7,5,2,10,14,56,0.46,0.462,0.267,27,29,21,48,7,18,10,13,5,24,29,11,5,3,10,11,59,0.438,0.389,0.769,34,25,A
22,59,3,17,7,15,14,20,34,8,6,4,10,18,54,0.373,0.176,0.467,33,21,20,54,7,20,18,23,14,27,41,14,6,4,11,14,65,0.37,0.35,0.783,27,38,H
28,65,10,22,10,13,15,30,45,22,2,5,16,10,76,0.431,0.455,0.769,42,34,23,64,6,25,10,15,10,22,32,11,8,1,10,13,62,0.359,0.24,0.667,32,30,A
21,57,9,28,13,21,11,23,34,12,11,4,14,13,64,0.368,0.321,0.619,36,28,24,54,7,20,14,20,10,28,38,16,10,7,17,16,69,0.444,0.35,0.7,32,37,H
26,66,7,29,9,15,15,21,36,12,5,2,12,19,68,0.394,0.241,0.6,37,31,32,62,12,26,12,17,13,27,40,17,7,2,7,14,88,0.516,0.462,0.706,40,48,A
21,55,8,25,0,1,7,22,29,16,5,5,12,17,50,0.382,0.32,0,25,25,18,52,6,21,17,21,14,28,42,14,8,2,12,9,59,0.346,0.286,0.81,26,33,A
31,62,8,19,9,13,12,21,33,11,13,4,19,24,79,0.5,0.421,0.692,25,39,26,53,9,21,21,31,11,21,32,12,10,2,18,14,82,0.491,0.429,0.677,29,35,H
